Module	Testcase	Actual Result	Note	Evidence
Su kien	SK002	PASS - Chi tiet su kien admin render duoc.	Public list khong co route detail rieng; admin detail co.	Playwright live /admin/events/[id]
Su kien	SK003	PASS - Form admin tao su kien render duoc, co input/textarea/save-publish controls.	Khong submit valid de tranh tao su kien that.	Playwright live /admin/events/new
Su kien	SK004	PASS - Title tren 160 ky tu bi chan VALIDATION_ERROR.	Schema boundary.	Temporary Vitest deep case
Su kien	SK005	PASS - Description tren 4000 ky tu bi chan VALIDATION_ERROR.	Schema boundary.	Temporary Vitest deep case
Su kien	SK006	PASS - endAt truoc startAt bi chan VALIDATION_ERROR.	Schema boundary.	Temporary Vitest deep case
Su kien	SK007	PASS - capacity 10001 bi chan VALIDATION_ERROR.	Schema boundary.	Temporary Vitest deep case
Su kien	SK008	PASS - coverUrl abc bi chan VALIDATION_ERROR.	Schema boundary.	Temporary Vitest deep case
Su kien	SK009	PASS - User dang ky event PUBLISHED/OPEN/con cho thanh cong.	Dung startAt tuong lai.	Temporary Vitest deep case
Su kien	SK010	PASS - Huy dang ky thanh cong khi allowSelfCancellation=true.	Update/create registration status CANCELLED.	Temporary Vitest deep case
Su kien	SK011	PASS - Admin tao va publish event thanh cong.	createEvent publish=true tra status PUBLISHED.	Temporary Vitest deep case
Su kien	SK012	PASS - Admin cancel event thanh cong.	cancelEvent update status CANCELLED.	Temporary Vitest deep case
Su kien	SK013	PASS - User thuong khong quan ly event duoc.	Permission guard admin.events.manage chan.	Vitest admin/event authorization coverage
Su kien	SK014	PASS - Event full hoac da bat dau/ket thuc bi chan.	EVENT_FULL hoac REGISTRATION_CLOSED theo trang thai.	Temporary Vitest deep case
Su kien	SK015	PASS - registrationStatus CLOSED bi chan REGISTRATION_CLOSED.	Khong goi eventRegistration.upsert.	Temporary Vitest deep case
Admin nguoi dung	AND001	PASS - Trang quan ly nguoi dung render duoc, search input go duoc.	Desktop/mobile deu OK.	Playwright live /admin/users
Admin nguoi dung	AND002	PASS - Trang import preview render duoc, co file input va controls.	Khong upload file that tren live de tranh batch that.	Playwright live /admin/users/import
Admin nguoi dung	AND003	PASS - baseRole SUPERUSER bi chan VALIDATION_ERROR.	Schema enum role.	Temporary Vitest deep case
Admin nguoi dung	AND004	PASS - Lock reason duoi 3 ky tu bi chan VALIDATION_ERROR.	Khong ghi moderation row.	Temporary Vitest deep case
Admin nguoi dung	AND005	PASS - TEMP_LOCKED thieu/ngay qua khu bi chan VALIDATION_ERROR.	Mock user ton tai de test dung nhanh lockedUntil.	Temporary Vitest deep case
Admin nguoi dung	AND006	PASS - Unlock reason duoi 3 ky tu bi chan VALIDATION_ERROR.	Khong update lock.	Temporary Vitest deep case
Admin nguoi dung	AND007	PASS - Import file rong bi chan VALIDATION_ERROR.	Can chon file CSV/Excel.	Vitest import action coverage
Admin nguoi dung	AND008	PASS - CREATE thieu required header bi bao loi preview.	Thieu role/displayName/department tuy settings defaultRole.	Temporary Vitest deep case
Admin nguoi dung	AND009	PASS - Role PhuHuynh bi bao role khong hop le.	Parser tra error field role.	Temporary Vitest deep case
Admin nguoi dung	AND010	PASS - UPDATE thieu code bi bao thieu cot bat buoc code.	Parser tra error field code.	Temporary Vitest deep case
Admin nguoi dung	AND011	PASS - Cap nhat role user hop le chay dung.	System admin guard va DB role sync duoc cover.	Vitest admin user access suite
Admin nguoi dung	AND012	PASS - Lock tam thoi voi lockedUntil tuong lai thanh cong.	Ghi userAccountModeration TEMP_LOCKED.	Temporary Vitest deep case
Admin nguoi dung	AND013	PASS - Unlock user thanh cong khi dang bi khoa.	Release active lock va tao history ACTIVE.	Vitest admin user moderation suite
Admin nguoi dung	AND014	PASS - Import preview file hop le tao PENDING_CONFIRM.	Cover settings mock moi getUserImportSettings.	Temporary Vitest deep case
Admin nguoi dung	AND015	PASS - Confirm CREATE thanh cong tao user/password csv trong action path.	Khong chay live confirm de tranh tao Supabase user that; action path duoc unit cover.	Vitest school identity import/action coverage
Admin nguoi dung	AND016	PASS - Khong cho tu go quyen quan tri vien.	FORBIDDEN truoc khi ghi DB.	Temporary Vitest deep case
Admin nguoi dung	AND017	PASS - Khong cho tu khoa vinh vien tai khoan minh.	FORBIDDEN truoc khi ghi DB.	Temporary Vitest deep case
Admin thong bao	ATB001	PASS - Composer/list thong bao render duoc, co controls.	Desktop route OK.	Playwright live /admin/announcements
Admin thong bao	ATB002	PASS - Workflow status duoc tinh dung qua cac stage.	Cover PENDING_UNIT/ADMIN/APPROVED/PUBLISHED.	Vitest announcement workflow suites
Admin thong bao	ATB003	PASS - Admin list/filter status render va controls ton tai.	Khong overlay/console error.	Playwright live + Vitest page coverage
Admin thong bao	ATB004	PASS - Title rong bi chan VALIDATION_ERROR.	Schema.	Temporary Vitest deep case
Admin thong bao	ATB005	PASS - Title tren 200 ky tu bi chan VALIDATION_ERROR.	Schema.	Temporary Vitest deep case
Admin thong bao	ATB006	PASS - Content tren 10000 ky tu bi chan VALIDATION_ERROR.	Schema.	Temporary Vitest deep case
Admin thong bao	ATB007	PASS - Thieu issuingUnitId bi chan VALIDATION_ERROR.	Schema.	Temporary Vitest deep case
Admin thong bao	ATB008	PASS - Link http:// bi chan, yeu cau HTTPS.	Schema link.	Temporary Vitest deep case
Admin thong bao	ATB009	PASS - link.name tren 200 ky tu bi chan VALIDATION_ERROR.	Schema link.	Temporary Vitest deep case
Admin thong bao	ATB010	PASS - Cohort ABC bi chan VALIDATION_ERROR.	Target COHORT chi nhan so trong range.	Temporary Vitest deep case
Admin thong bao	ATB011	PASS - Reject/changes requested thieu comment bi chan VALIDATION_ERROR.	Decision schema.	Temporary Vitest deep case
Admin thong bao	ATB012	PASS - Withdraw reason rong bi chan VALIDATION_ERROR.	Khong update announcement.	Temporary Vitest deep case
Admin thong bao	ATB013	PASS - Save draft thanh cong status DRAFT.	createAnnouncement tao draft, khong publish truc tiep.	Temporary Vitest deep case
Admin thong bao	ATB014	PASS - Submit unit-only di dung workflow duyet don vi.	Revision/audit/stage duoc cover.	Vitest announcement action/workflow suites
Admin thong bao	ATB015	PASS - Submit multi-level di dung workflow nhieu cap.	UNIT -> ADMIN theo target/unit.	Vitest announcement workflow suites
Admin thong bao	ATB016	PASS - Review approve thanh cong.	Approval/audit/status transition dung.	Vitest announcement action suites
Admin thong bao	ATB017	PASS - Publish approved now thanh cong.	Publication fanout path duoc cover.	Vitest announcement publication/action suites
Admin thong bao	ATB018	PASS - Schedule future luu scheduledAt dung.	Scheduled publish path duoc cover.	Vitest announcement action/publication suites
Admin thong bao	ATB019	PASS - Replacement create thanh cong.	Replacement action path duoc cover.	Vitest announcement action suites
Admin thong bao	ATB020	PASS - Compose ngoai don vi bi chan FORBIDDEN.	requireUnitMembership/announcementUnitMember guard.	Temporary Vitest deep case
Admin thong bao	ATB021	PASS - Reviewer sai stage/khong permission bi chan.	FORBIDDEN/INVALID_STATUS/ALREADY_REVIEWED theo state.	Vitest announcement review suites
Admin thong bao	ATB022	PASS - Publish khi not approved bi chan INVALID_STATUS.	DRAFT khong publish duoc.	Temporary Vitest deep case
Admin kiem duyet	AKD001	PASS - Queue kiem duyet render duoc, co controls.	Desktop route OK.	Playwright live /admin/moderation
Admin kiem duyet	AKD002	PASS - Report detail/list duoc query va render.	Open/resolved/history reports duoc cover.	Vitest moderation queries + Playwright
Admin kiem duyet	AKD003	PASS - Reject post reason rong bi chan VALIDATION_ERROR.	Khong tim/write post.	Temporary Vitest deep case
Admin kiem duyet	AKD004	PASS - Reject post reason tren 1000 ky tu bi chan VALIDATION_ERROR.	Khong update post.	Temporary Vitest deep case
Admin kiem duyet	AKD005	PASS - Resolve report resolution tren 1000 ky tu bi chan VALIDATION_ERROR.	Khong update report.	Temporary Vitest deep case
Admin kiem duyet	AKD006	PASS - Approve pending post thanh cong.	UpdateMany PUBLISHED, log, fanout, notify.	Temporary Vitest deep case
Admin kiem duyet	AKD007	PASS - Reject pending post thanh cong.	UpdateMany REJECTED va luu reason.	Temporary Vitest deep case
Admin kiem duyet	AKD008	PASS - Resolve report thanh cong.	Update report RESOLVED va log moderation.	Temporary Vitest deep case
Admin kiem duyet	AKD009	PASS - Delete reported content thanh cong.	Soft delete content/report/log path OK.	Temporary Vitest deep case
Admin kiem duyet	AKD010	PASS - Khong co quyen bi chan FORBIDDEN.	Permission guard admin.moderation.manage.	Temporary Vitest deep case
Admin kiem duyet	AKD011	PASS - Pending post khong con PENDING bi chan NOT_FOUND.	Stale update khong ghi log/fanout.	Temporary Vitest deep case
Admin he thong	AHT001	PASS - Form cai dat he thong render duoc, khong blank/overlay.	Desktop/mobile deu OK.	Playwright live /admin/settings
Admin he thong	AHT002	PASS - Module toggles render duoc va action toggle key hop le thanh cong.	Khong toggle live de tranh doi setting that.	Playwright live + Temporary Vitest deep case
Admin he thong	AHT003	PASS - System name rong bi chan VALIDATION_ERROR.	Khong upsert setting.	Temporary Vitest deep case
Admin he thong	AHT004	PASS - Description tren 500 ky tu bi chan VALIDATION_ERROR.	Khong upsert setting.	Temporary Vitest deep case
Admin he thong	AHT005	PASS - URL uniconnect invalid bi chan VALIDATION_ERROR.	Khong upsert setting.	Temporary Vitest deep case
Admin he thong	AHT006	PASS - contactEmail admin@ invalid bi chan VALIDATION_ERROR.	Khong upsert setting.	Temporary Vitest deep case
Admin he thong	AHT007	PASS - allowedEmailDomains rong bi chan VALIDATION_ERROR.	Khong upsert setting.	Temporary Vitest deep case
Admin he thong	AHT008	PASS - Domain @gmail bi chan VALIDATION_ERROR.	Khong upsert setting.	Temporary Vitest deep case
Admin he thong	AHT009	PASS - Update system settings hop le upsert du 5 keys.	Revalidate /admin/settings.	Temporary Vitest deep case
Admin he thong	AHT010	PASS - Toggle module courses=false thanh cong.	moduleFlag.upsert dung where/create/update.	Temporary Vitest deep case
Admin he thong	AHT011	PASS - Regular admin khong phai system admin bi chan FORBIDDEN.	requireSystemAdmin guard.	Temporary Vitest deep case
Admin he thong	AHT012	PASS - Guest vao admin settings bi chan/redirect.	Admin route guard cover.	Vitest admin guards + route meta
Admin he thong	AHT013	PASS - moduleKey payments invalid bi chan VALIDATION_ERROR.	Khong upsert moduleFlag.	Temporary Vitest deep case
